smiles,pred,max_tan_to_sd1_actives
CCCCCC[C@H](O)CCCCCC/C=C/[C@H](O)[C@@H](O)[C@H](O)[C@H](N[N+]#[N+]C)C(=O)O,1.0,0.2
CCC(=O)O[C@@H]1C2=C([N+]#N)C3=C(O)c4c([O-])cccc4C(=O)C3=C2[C@H](O)[C@@H](OC(C)=O)[C@@]1(C)O,1.0,0.2090909
N#[N+]CC(=O)[C@@H](Cc1ccccc1)[N-]C(=O)OCc1ccccc1,1.0,0.24489796
COc1ccc(C(=O)O)c([O-])c1[N+]#N,1.0,0.27083334
CC(=O)Nc1cc(S(=O)(=O)[O-])cc([N+]#N)c1C,1.0,0.2264151
CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)C[N+]#N)CC[C@@H]32)C1,1.0,0.29333332
C/C(=C\C(C)CC(C)C)c1c(C)c(O)nc2c1C(=O)C([N+]#N)=C([O-])C2=O,1.0,0.14864865
C/C(=C\C(C)CC(C)C)c1c(C)c([O-])nc2c1C(O)=C([N+]#N)C(=O)C2=O,1.0,0.14864865
N#[N+]CC(=O)CC[C@H](N)C(=O)O,1.0,0.2413793
Cc1cc(O)c2c3c([c-]([N+]#N)c2c1)C(O)=C1C(=O)C=CC=C1C3=O,1.0,0.2
N#[N+]c1ccc(CO)cc1,1.0,0.1904762
CC(=O)O[C@@H]1C2=C(C3=C([O-])c4cccc(O)c4C(=O)C3=C2[N+]#N)[C@H](O)[C@@H](OC(C)=O)[C@]1(C)OC(C)=O,1.0,0.24731183
COc1ccc(C(=O)[O-])c(O)c1[N+]#N,1.0,0.27083334
N#[N+]C=C(O)CCC(O)=C[N+]#N,1.0,0.12903225
CC(=O)O[C@@H]1C2=C(c3c([O-])c4c(c(O)c3=C2[N+]#N)C(=O)C=CC=4)[C@H](O)[C@@H]2O[C@@]12C,1.0,0.2016129
CC(=O)O[C@@H]1C2=C(c3c([O-])c4c(c(O)c3=C2[N+]#N)C(=O)C=CC=4)[C@H](O)[C@@H](OC(C)=O)[C@]1(C)O,1.0,0.184
CC(=O)O[C@@H]1C2=C(C3=C([O-])c4cccc(O)c4C(=O)C3=C2[N+]#N)[C@H](O)[C@@H](OC(C)=O)[C@]1(C)O,1.0,0.26373628
CC(=O)N[C@@H](CCC(=O)C[N+]#N)C(=O)O,1.0,0.20588236
N#[N+]/C=C(\[O-])CC/C([O-])=C\[N+]#N,1.0,0.125
CC(=O)O[C@@H]1c2c(c3c([c-]2[N+]#N)C(=O)c2c(O)cccc2C3=O)[C@H](O)[C@@H](OC(C)=O)[C@]1(C)OC(C)=O,1.0,0.26865673
N#[N+]/C=C(/[O-])OCC1NC(=O)C(CO/C([O-])=C/[N+]#N)NC1=O,1.0,0.17391305
CCCc1ccc(C[N+]#N)cc1,1.0,0.20512821
N#[N+]CC(=O)CC[C@@H](N)C(=O)O,1.0,0.2413793
CC(=O)O[C@]1(C)[C@H](O)c2c(c3c([c-]2[N+]#N)C(=O)c2c(O)cccc2C3=O)[C@H](O)[C@H]1O,1.0,0.29032257
CC(=O)O[C@@H]1C2=C([N+]#N)C3=C(O)c4c([O-])cccc4C(=O)C3=C2[C@H](O)[C@@H](OC(C)=O)[C@]1(C)O,1.0,0.22115384
CC(=O)O[C@@H]1C2=C([N+]#N)C3=C(O)c4c([O-])cccc4C(=O)C3=C2[C@H](O)[C@@H](OC(C)=O)[C@]1(C)OC(C)=O,1.0,0.20833333
N#[N+]C1C(=O)C=CC=C1C(=O)O,1.0,0.15555556
